"Year","Pb","Lan"
1975,86,"Södermanlands län"
1975,71,"Södermanlands län"
1975,93,"Södermanlands län"
1975,108,"Södermanlands län"
1975,110,"Södermanlands län"
1975,31,"Södermanlands län"
1975,91,"Södermanlands län"
1975,88,"Södermanlands län"
1975,69,"Södermanlands län"
1975,86,"Södermanlands län"
1975,106,"Södermanlands län"
1975,71,"Södermanlands län"
1975,66,"Södermanlands län"
1975,126,"Blekinge län"
1975,113,"Blekinge län"
1975,112,"Blekinge län"
1975,128,"Blekinge län"
1975,155,"Blekinge län"
1975,108,"Blekinge län"
1975,170,"Blekinge län"
1975,68,"Blekinge län"
1975,135,"Blekinge län"
1980,46,"Södermanlands län"
1980,74,"Södermanlands län"
1980,35,"Södermanlands län"
1980,49,"Södermanlands län"
1980,33,"Södermanlands län"
1980,144,"Södermanlands län"
1980,26,"Södermanlands län"
1980,31,"Södermanlands län"
1980,68,"Södermanlands län"
1980,53,"Södermanlands län"
1980,31,"Södermanlands län"
1980,26,"Södermanlands län"
1980,34,"Södermanlands län"
1980,47,"Södermanlands län"
1980,47,"Blekinge län"
1980,33,"Blekinge län"
1980,147,"Blekinge län"
1980,90,"Blekinge län"
1980,68,"Blekinge län"
1985,55,"Södermanlands län"
1985,67,"Södermanlands län"
1985,46,"Södermanlands län"
1985,72,"Södermanlands län"
1985,48,"Södermanlands län"
1985,35,"Södermanlands län"
1985,49,"Södermanlands län"
1985,46,"Södermanlands län"
1985,33,"Södermanlands län"
1985,26,"Södermanlands län"
1985,31,"Södermanlands län"
1985,54,"Södermanlands län"
1985,51,"Södermanlands län"
1985,67,"Blekinge län"
1985,34,"Blekinge län"
1985,48,"Blekinge län"
1985,55,"Blekinge län"
1985,86,"Blekinge län"
1985,68,"Blekinge län"
1985,68,"Blekinge län"
1985,180,"Blekinge län"
1985,75,"Blekinge län"
1985,48,"Blekinge län"
1985,51,"Blekinge län"
1985,68,"Blekinge län"
1985,48,"Blekinge län"
1985,53,"Blekinge län"
1990,48,"Södermanlands län"
1990,24,"Södermanlands län"
1990,24,"Södermanlands län"
1990,26,"Södermanlands län"
1990,30,"Södermanlands län"
1990,28,"Södermanlands län"
1990,33,"Södermanlands län"
1990,142,"Södermanlands län"
1990,26,"Södermanlands län"
1990,26,"Södermanlands län"
1990,36,"Södermanlands län"
1990,30,"Södermanlands län"
1990,7,"Blekinge län"
1990,26,"Blekinge län"
1990,48,"Blekinge län"
1990,32,"Blekinge län"
1990,24,"Blekinge län"
1990,22,"Blekinge län"
1990,35,"Blekinge län"
1990,22,"Blekinge län"
1990,50,"Blekinge län"
1990,53,"Blekinge län"
1990,32,"Blekinge län"
1990,30,"Blekinge län"
1990,173,"Blekinge län"
1995,97,"Södermanlands län"
1995,65,"Södermanlands län"
1995,76,"Södermanlands län"
1995,103,"Södermanlands län"
1995,177,"Södermanlands län"
1995,143,"Södermanlands län"
1995,85,"Södermanlands län"
1995,56,"Södermanlands län"
1995,120,"Södermanlands län"
1995,62,"Södermanlands län"
